Date;Description;Distance (km);Time;Time (seconds);Speed (km/h);Best 250m (km/h);Best 500m (km/h);Best 1000m (km/h);Best 5km (km/h);Best 10km (km/h);Best 20km (km/h);Best 50km (km/h);Best 100km (km/h);Best 30 min (km/h);Best 1 h (km/h);Best 2 h (km/h);Best 3 h (km/h);Best 4 h (km/h);Best 5 h (km/h);Max gradient for 250 m (%);Max gradient for 500 m (%);Max gradient for 1000 m (%);Max gradient for 5 km (%);Max gradient for 10 km (%);Max gradient for 20 km (%)
dim. 22 septembre 2024 - 14:32;Entraînement triathlon (vélo) pour Téo;28,53;01h 32m 20s;5540;18,54;40.91;38.30;34.95;29.75;24.97;21.49;;;24.54;20.78;;;;;8.00;4.00;2.64;1.02;0.33;0.16
dim. 15 septembre 2024 - 09:22;Sortie VTT le matin avec Clement;45,18;02h 39m 48s;9588;16,96;56.25;50.00;32.14;24.13;23.09;18.09;;;22.19;18.00;16.65;;;;9.44;7.60;4.84;0.85;0.49;0.19
lun. 19 août 2024 - 09:38;Cormet de Roselend (1968 m) depuis Bourg Saint Maurice avec Téo;40,13;03h 07m 51s;11271;12,82;69.23;66.67;65.45;40.54;36.07;22.71;;;34.58;21.04;15.06;12.89;;;9.60;9.08;8.50;7.77;6.35;5.48
ven. 16 août 2024 - 09:22;Col du Petit Saint Bernard (2188 m);75,16;04h 34m 35s;16475;16,42;60.00;54.55;52.17;47.75;44.01;42.60;19.69;;42.44;34.51;22.22;18.36;16.36;;7.44;6.84;5.96;5.06;4.94;4.61
lun. 12 août 2024 - 09:54;Landry - Rosuel (1520 m);24,26;01h 58m 52s;7132;12,24;60.00;54.55;48.65;45.11;37.27;14.70;;;26.65;17.16;;;;;10.72;10.04;9.04;7.81;6.72;1.69
sam. 10 août 2024 - 08:34;Landry - Les Bauches (1787 m);30,07;02h 48m 38s;10118;10,70;56.25;54.55;49.32;42.55;33.68;12.86;;;27.52;16.76;11.54;;;;10.80;9.76;9.30;7.63;7.05;3.54
jeu. 08 août 2024 - 18:10;Sortie vélo en soirée;1,96;22m 19s;1339;5,26;50.00;40.00;28.57;;;;;;;;;;;;8.00;6.92;3.18;;;
mer. 07 août 2024 - 17:55;Sortie vélo dans l'après-midi;3,39;29m 05s;1745;6,99;42.86;33.33;27.91;;;;;;;;;;;;7.68;6.68;5.54;;;
mar. 06 août 2024 - 08:03;Sortie vélo le matin;1,43;11m 12s;672;7,68;19.57;13.95;13.33;;;;;;;;;;;;7.20;6.60;3.82;;;
lun. 05 août 2024 - 09:22;La Grave - col du Galibier (2642 m) via col de Lautaret (2058 m);39,88;03h 16m 16s;11776;12,19;60.00;56.25;55.38;47.49;43.85;30.57;;;39.48;22.30;14.29;12.35;;;10.88;9.40;8.42;6.56;5.91;5.68
ven. 02 août 2024 - 15:36;Autour du camping;12,66;50m 01s;3001;15,18;39.13;34.62;33.64;19.74;15.65;;;;16.09;;;;;;7.76;4.76;3.88;2.64;0.44;
ven. 26 juillet 2024 - 15:08;Balade dans la forêt avec Mehdi;13,64;51m 03s;3063;16,03;34.62;29.51;27.91;19.50;18.20;;;;18.54;;;;;;5.68;4.24;2.38;0.49;0.03;
dim. 07 juillet 2024 - 09:12;Sortie VTT le matin avec Clement;27,87;01h 38m 18s;5898;17,01;34.62;31.03;29.03;24.19;21.23;17.94;;;21.02;17.88;;;;;6.72;4.68;3.10;0.90;0.42;0.24
dim. 23 juin 2024 - 16:08;Balade avec Chrystele;14,98;56m 30s;3390;15,90;33.33;31.58;28.80;22.09;17.98;;;;17.34;;;;;;6.88;4.52;2.72;0.87;0.28;
sam. 22 juin 2024 - 14:18;Test nouveau vélo;13,22;43m 59s;2639;18,04;40.91;38.30;34.29;24.79;22.80;;;;22.21;;;;;;3.92;3.40;1.92;0.42;0.15;
dim. 16 juin 2024 - 08:59;Jour 4 : Neussargues - Murol;65,27;05h 37m 43s;20263;11,60;64.29;60.00;57.14;31.14;23.47;13.74;11.18;;22.16;18.13;13.13;13.02;11.70;11.62;9.68;8.44;7.26;5.00;4.21;2.80
sam. 15 juin 2024 - 09:01;Jour 3 : Boucle Neussargues via Plomb du Cantal;68,26;08h 08m 01s;29281;8,39;64.29;60.00;56.25;40.91;28.69;19.82;8.71;;26.86;19.95;14.18;10.45;8.47;8.65;19.40;17.56;14.97;11.50;7.85;3.75
ven. 14 juin 2024 - 09:01;Jour 2 : La Godivelle - Neussargues;58,34;05h 25m 08s;19508;10,77;64.29;62.07;57.14;30.30;18.48;13.22;10.26;;19.32;15.46;12.60;9.68;10.19;10.28;10.80;9.28;8.56;4.51;1.90;1.16
jeu. 13 juin 2024 - 10:38;Jour 1 : Murol - La Govidelle;50,19;06h 31m 08s;23468;7,70;75.00;72.00;62.07;14.84;10.05;9.00;7.73;;13.83;10.03;9.16;8.66;7.73;7.74;11.32;10.48;9.69;3.73;2.67;2.30
mar. 04 juin 2024 - 20:16;Retour de Rennes avec Chrystele;9,90;29m 00s;1740;20,48;37.50;36.00;29.75;22.22;;;;;;;;;;;3.84;3.12;2.20;0.62;;
lun. 03 juin 2024 - 12:31;Pique nique le midi;8,70;01h 42m 05s;6125;5,11;45.00;33.96;30.51;3.43;;;;;4.94;3.29;;;;;7.36;4.72;2.28;0.36;;
dim. 02 juin 2024 - 14:29;Sortie VTT dans l'après-midi;31,54;01h 44m 04s;6244;18,19;39.13;37.50;36.00;27.86;24.71;18.62;;;24.46;19.20;;;;;6.08;4.44;2.36;0.71;0.54;0.23
dim. 26 mai 2024 - 10:45;Ballade a Jar sur mer avec Chrystele;25,82;02h 44m 00s;9840;9,45;31.03;25.00;23.53;19.09;15.98;8.45;;;15.84;9.60;8.04;;;;4.40;2.52;1.26;0.24;0.15;0.06
sam. 25 mai 2024 - 20:18;Retour des Sables avec Chrystele après restaurant 🍽️;13,79;43m 36s;2616;18,98;33.33;31.03;28.57;23.75;20.99;;;;20.79;;;;;;4.32;2.92;1.62;0.33;0.15;
